age,income,tenure_months,monthly_spend,churn
22,3386.88,11,158.82,0
58,1390.73,68,146.2,1
52,1739.55,28,240.94,1
40,6055.1,71,283.55,0
40,1955.09,82,305.61,1
62,2183.86,102,272.04,1
22,5704.3,59,172.32,0
54,6986.08,1,204.69,0
28,2094.12,34,233.68,1
22,3058.1,102,188.48,0
45,3909.87,64,189.15,1
68,5574.44,74,237.66,0
56,2315.77,55,175.85,1
57,3205.67,20,128.95,0
55,4432.81,107,150.99,0
58,4021.72,92,224.37,1
44,3048.61,119,180.21,0
24,3339.41,102,203.81,0
61,1850.13,35,226.91,1
41,3214.19,31,153.76,0
44,3180.34,30,232.94,1
37,3778.6,110,206.52,0
27,2833.61,67,93.56,0
66,4065.85,55,280.96,1
58,4715.26,116,144.95,0
51,3686.52,72,64.14,0
38,3922.11,109,106.85,0
60,3563.79,118,108.53,0
46,3500.1,10,183.65,1
41,2634.13,44,160.83,1
41,3879.79,88,156.42,0
29,3383.26,97,223.38,0
22,6011.8,18,203.79,0
46,5388.03,38,202.12,0
64,3963.02,66,208.69,1
21,2584.33,96,223.13,0
62,2165.11,14,32.44,0
61,4929.37,72,154.49,1
32,3815.3,36,27.39,0
50,4076.17,26,182.52,1
26,1406.5,62,179.68,0
57,4612.93,50,253.19,1
54,4045.3,76,263.13,1
36,2167.48,38,194.19,1
21,2934.17,98,144.97,0
68,3816.46,10,213.96,1
41,3562.96,103,143.05,1
64,3149.39,4,179.9,1
53,3375.81,88,249.03,1
58,3197.63,42,140.96,0
57,3683.08,46,236.4,1
28,5265.79,3,227.42,1
36,800.0,84,113.16,0
42,3215.78,20,248.17,1
43,3711.81,79,228.9,1
20,3855.19,87,187.13,0
46,3053.7,101,126.64,0
26,1391.93,85,119.86,0
56,3893.59,36,142.36,0
53,5572.82,88,217.98,0
65,1659.37,99,113.11,1
56,4536.59,38,210.63,1
37,3105.77,15,93.08,0
68,3426.41,106,165.72,0
39,2236.52,18,187.68,1
34,3098.65,71,351.16,1
65,5060.05,29,83.59,0
37,4199.19,15,283.04,1
21,5578.77,93,190.49,0
42,4912.89,18,208.78,1
59,4026.9,80,188.28,1
27,5592.72,83,211.13,0
42,4026.79,8,169.24,0
24,4493.59,21,281.78,1
53,3144.11,95,148.05,0
42,3579.85,61,259.26,0
35,2663.09,15,134.89,0
29,4687.5,119,175.78,0
47,2086.04,32,104.96,0
52,4438.82,1,211.85,1
66,3271.22,110,281.16,1
40,4905.5,2,174.59,0
26,4401.04,66,166.22,0
61,5684.78,119,101.98,0
50,4376.93,69,163.95,0
54,1613.55,70,68.5,0
23,3419.66,47,116.1,0
34,2093.59,16,195.88,0
57,2878.06,69,272.33,1
61,5313.47,107,376.64,1
40,4265.04,11,138.94,0
59,2661.28,105,280.47,1
61,2283.54,50,197.06,1
38,3539.34,64,169.41,0
64,2040.13,20,210.28,1
32,2694.63,74,184.33,0
30,3874.41,22,187.73,0
53,4886.37,33,151.42,0
51,4230.51,86,82.13,0
25,800.0,7,71.95,1
61,3865.24,54,225.73,1
28,3586.44,71,160.63,0
59,3996.67,16,138.27,0
18,5439.45,36,180.6,0
59,1024.11,41,235.65,1
58,2790.68,79,192.63,0
58,4209.09,117,134.08,0
52,1602.09,100,265.84,1
42,5271.14,23,290.54,1
54,3942.03,3,214.62,1
32,4515.9,7,248.16,1
58,2814.87,71,266.94,1
46,4476.52,19,259.11,1
41,4782.17,28,222.99,1
44,3779.45,101,221.88,1
47,3781.28,104,216.38,0
19,3824.41,100,103.19,0
25,2463.99,31,229.05,1
30,3322.97,74,85.09,0
23,3316.97,73,124.38,0
40,3960.07,23,271.25,1
52,4699.79,66,238.82,0
52,2229.76,63,284.12,1
42,3349.99,48,160.98,0
62,5277.75,90,99.34,0
47,2607.69,81,163.17,0
22,2513.3,64,187.14,0
57,3742.77,87,185.53,1
47,4513.26,91,259.36,1
51,3513.71,68,154.71,0
47,5094.75,32,204.64,1
46,4528.15,91,110.8,0
22,4510.18,86,211.52,0
47,4164.94,118,180.22,0
59,6293.18,18,127.51,0
33,3253.81,50,163.49,1
49,1095.77,110,167.11,1
19,5425.11,62,161.09,0
36,2950.76,113,303.99,0
40,3629.46,2,173.11,1
69,5071.46,5,162.93,1
29,1577.29,95,33.18,0
32,1998.02,43,117.41,0
39,1578.47,62,161.58,0
69,2547.04,51,131.99,1
62,4027.56,49,276.72,1
19,4129.03,112,168.45,0
30,3831.53,12,270.19,1
60,1804.68,92,184.32,0
21,800.0,106,182.61,1
62,3565.22,79,173.78,0
32,2933.87,48,180.27,0
65,4051.26,20,300.32,1
33,4342.34,82,20.0,0
40,3665.89,56,39.89,0
52,4412.16,18,141.98,1
24,3775.05,43,181.02,0
46,4136.08,115,228.31,0
44,2654.39,32,213.12,1
58,3284.47,22,153.1,1
69,3736.13,82,251.33,1
52,4484.63,24,252.11,1
39,3027.51,110,192.88,0
39,4125.4,103,247.39,1
39,3180.99,118,199.09,0
60,3358.95,109,140.7,0
34,4495.42,30,228.85,0
26,1108.33,26,187.74,0
35,1944.23,41,180.09,1
19,1721.38,56,283.11,0
23,800.0,105,20.0,0
22,2686.08,88,80.76,0
58,4399.32,77,96.91,1
55,3158.14,105,154.57,0
54,3737.35,77,162.18,0
42,4807.06,46,74.49,0
55,5093.22,50,111.04,0
26,3417.03,62,119.74,0
64,5124.3,11,352.02,1
44,3610.55,89,306.12,1
66,2495.12,78,151.18,1
25,2786.72,88,154.55,0
43,1723.36,64,99.56,0
54,2434.24,94,46.43,0
43,3070.38,114,171.82,0
41,4464.3,68,110.15,0
26,5564.92,53,174.06,0
37,1841.38,13,67.99,0
30,3971.39,93,126.66,0
33,2251.35,108,190.4,0
53,4069.64,84,205.63,0
50,3342.7,104,209.22,0
49,1302.91,103,87.57,0
36,4613.96,95,239.83,0
67,2774.0,60,123.99,0
22,2859.32,12,224.3,1
35,2216.3,1,179.26,1
24,2714.86,25,83.65,0
35,4013.47,52,157.87,0
68,3272.91,89,205.58,1
37,3894.39,55,222.91,0
65,3934.31,3,170.13,1
43,5084.79,26,287.22,1
54,3088.66,117,250.53,0
41,1727.77,118,162.03,0
31,4780.67,45,232.51,0
57,3102.21,96,315.37,1
68,4837.51,86,317.23,1
31,3960.05,111,94.04,0
58,3342.63,106,115.14,1
31,3918.53,75,283.94,0
55,5841.22,47,105.92,0
59,5992.38,75,87.42,0
41,3583.26,38,145.97,0
56,3692.23,42,209.42,1
32,4791.49,73,172.83,0
22,2485.21,68,134.46,0
23,3899.68,70,132.81,0
41,3468.96,46,130.14,0
64,3876.69,49,118.43,0
24,2499.96,2,339.71,1
41,1592.52,72,200.83,1
54,1012.42,69,242.07,1
28,2159.14,112,145.76,0
55,2949.59,61,166.98,1
33,3148.17,56,130.05,0
60,5824.68,9,20.0,0
48,4827.19,24,83.54,0
46,2345.49,41,53.26,0
27,3917.25,45,22.52,0
42,3011.51,44,96.32,0
62,3158.76,47,272.75,1
19,3722.39,92,176.89,0
57,4243.01,16,270.34,1
43,3092.89,40,208.77,1
55,4776.62,20,234.78,1
52,2129.67,37,116.94,1
40,3507.61,82,216.68,0
